section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,Cİ-7333,4346 Karizmatik Yeşil,#d5d6ae,"213, 214, 174",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7334,4347 Elegan Yeşil,#c5c69e,"197, 198, 158",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7335,4348 Kadife Yeşil,#bac28f,"186, 194, 143",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7345,500 İstanbul Yeşili,#d4da92,"212, 218, 146",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7392,4373 Nil Yeşili,#cae6df,"202, 230, 223",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7413,4384 Marina,#bcdee0,"188, 222, 224",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7421,4387 Nehir Yeşili,#e2efe9,"226, 239, 233",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7422,4388 Mint Yeşili,#bbe3e5,"187, 227, 229",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7424,4390 Salda Mavisi,#91cfd9,"145, 207, 217",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7425,4391 Ultra Marin,#16a9b9,"22, 169, 185",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7441,1590 Mutlu Mavi,#d5e9eb,"213, 233, 235",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
